Empresa,Cargo,Localidade,Data
Central IT,Administrador de Banco de Dados,Não informado,Publicada em: 18/08/2023
ProcessMind,Analista Banco de Dados,São Paulo - SP,Publicada em: 18/08/2023
Sabará Hospital Infantil,Cientista de Dados - FJLES,São Paulo - SP,Publicada em: 18/08/2023
Scala,ENGENHEIRO DE DADOS PL,Não informado,Publicada em: 18/08/2023
Farmax,Engenheiro (a) de dados,Belo Horiz... - MG,Publicada em: 18/08/2023
"Quer fazer parte de uma rede para pesquisa, educação e inovação com alcance global? Vem pra RNP!",Estagiário de Ciência de Dados,Rio de Jan... - RJ,Publicada em: 18/08/2023
🚀 A seleção já está rolando na Track&Field! Vem com a gente?,Analista de dados (BI) | TRACK&FIELD | São Paulo,São Paulo - SP,Publicada em: 18/08/2023
Seedz,Analista de Dados Sênior,Belo Horiz... - MG,Publicada em: 18/08/2023
Stefanini Group,Engenheiro de Dados Sênior (Databricks),Sorocaba - SP,Publicada em: 18/08/2023
Bridge & Co.,Líder de Squad - Dados,São Paulo - SP,Publicada em: 18/08/2023
Lanlink Informática,Analista de Banco de Dados e Linux,Fortaleza - CE,Publicada em: 18/08/2023
Quero Educação,Estágio em Análise de Dados,São José d... - SP,Publicada em: 18/08/2023
Montreal & Tecnologia & Inovação,Administrador de Banco de Dados ADABAS/NATURAL - Regional RJ,Rio de Jan... - RJ,Publicada em: 18/08/2023
BIRD Moving Business Forward,Analista de Dados e CRM,São Paulo - SP,Publicada em: 18/08/2023
Porto,Analista de Inteligência de Dados Sênior,São Paulo - SP,Publicada em: 18/08/2023
GLOBAL HITSS,13539-Pessoa Administradora de Banco de Dados (DBA),São Paulo - SP,Publicada em: 18/08/2023
Votorantim Cimentos,Analista de Dados,São Paulo - SP,Publicada em: 17/08/2023
Strada,Engenheiro(a) de Dados Sênior,São Paulo - SP,Publicada em: 17/08/2023
Genial Investimentos,Cientista de Dados PL,São Paulo - SP,Publicada em: 17/08/2023
White Martins,Estagiário(a) de Análise de Dados - Diadema/SP,Diadema - SP,Publicada em: 17/08/2023
REDE CACIQUE,ATENDENTE EM RESTAURANTE BANCO DE DADOS - ALTO ALEGRE/MA,Alto Alegre - MA,Publicada em: 17/08/2023
Grupo Salta Educação,Analista de Dados - Contas a Receber,Rio de Jan... - RJ,Publicada em: 17/08/2023
NAVA | Technology for Business,Pessoa Engenheira de Dados,São Paulo - SP,Publicada em: 17/08/2023
"LBCA - Lee, Brock, Camargo Advogados",Analista de Dados Jurídicos,São Paulo - SP,Publicada em: 17/08/2023
BP - A Beneficência Portuguesa de São Paulo,Pessoa Analista de Dados Pleno,São Paulo - SP,Publicada em: 17/08/2023
Radix Engenharia e Software,Profissional de Liderança Técnica de Dados,Não informado,Publicada em: 16/08/2023
LEAN SALES,Assistente De Dados,Itajaí - SC,Publicada em: 16/08/2023
NAVA | Technology for Business,PESSOA ESPECIALISTA DE GOVERNANÇA DE DADOS,São Paulo - SP,Publicada em: 16/08/2023
Daniel Advogados,Cientista de Dados,Rio de Jan... - RJ,Publicada em: 16/08/2023
NAVA | Technology for Business,ANALISTA DLP e PROTEÇÃO DE DADOS SR,Osasco - SP,Publicada em: 16/08/2023
NAVA | Technology for Business,"ANALISTA DE PROTEÇÃO DE DADOS SR - DISCOVERY, PROTEÇÃO E CRIPTOGRAFIA",Osasco - SP,Publicada em: 16/08/2023
iK Ecossistema da Inovação,Analista de dados,Rio de Jan... - RJ,Publicada em: 16/08/2023
